state,q_values
"('X', 'O', ' ', 'O', 'X', ' ', 'X', ' ', 'O')","[ 0.          0.         10.          0.          0.          8.70837184
  0.          9.31122768  0.        ]"
"('X', 'O', 'X', 'O', 'X', ' ', 'X', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', 'O', ' ', ' ', ' ', ' ', ' ')","[0.         9.11693568 9.0438782  0.         9.04397568 8.85484072
 9.02495467 9.02029544 9.04317294]"
"('X', ' ', 'O', 'O', 'X', ' ', ' ', ' ', ' ')","[ 0.          9.5         0.          0.          0.          8.39691581
  9.49994852  9.5        10.        ]"
"('X', 'O', 'O', 'O', 'X', ' ', 'X', ' ', ' ')","[ 0.          0.          0.          0.          0.          9.46351998
  0.          9.34070198 10.        ]"
"('X', 'O', 'O', 'O', 'X', ' ', 'X', 'X', 'O')",[0. 0. 0. 0. 0. 5. 0. 0. 0.]
"('X', 'O', 'O', 'O', 'X', 'X', 'X', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', ' ', ' ', ' ', ' ', ' ', ' ', 'O')","[8.84064547 0.         9.484192   8.96030187 8.46425343 9.02186961
 9.01829581 7.95456106 0.        ]"
"('X', 'X', ' ', ' ', ' ', 'O', ' ', ' ', 'O')","[ 0.          0.         10.          5.73104     9.49899195  0.
  9.37500032  9.37515973  0.        ]"
"('X', 'X', 'O', ' ', ' ', 'O', 'X', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', ' ', ' ', ' ', 'X', 'O', ' ')","[9.5        8.92207946 8.51715467 9.0438784  9.04399996 8.53092778
 0.         0.         6.00502447]"
"('X', ' ', ' ', ' ', 'O', ' ', 'X', 'O', ' ')","[ 0.          9.5         8.87579872 10.          0.         -6.72966449
  0.          0.          9.48994345]"
"('X', ' ', ' ', 'O', 'O', 'X', 'X', 'O', ' ')","[ 0.          4.9020604  -6.10024928  0.          0.          0.
  0.          0.         -9.88201216]"
"('X', 'O', 'X', 'O', 'O', 'X', 'X', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', ' ', ' ', ' ', ' ', ' ', 'O', ' ')","[6.17606307 0.         6.39150987 8.62988184 6.0004565  7.66726829
 6.50055528 0.         8.03111355]"
"('X', 'X', ' ', ' ', ' ', 'O', ' ', 'O', ' ')",[ 0.   0.  10.   9.5  9.5  0.   9.5  0.   9.5]
"('X', 'X', ' ', ' ', 'O', 'O', 'X', 'O', ' ')","[ 0.          0.         10.         10.          0.          0.
  0.          0.          9.34524794]"
"(' ', ' ', ' ', ' ', 'O', 'X', ' ', ' ', ' ')","[8.40066186 6.00297765 5.35169082 5.29303329 0.         0.
 5.71789817 5.37394001 5.47978543]"
"(' ', ' ', ' ', 'X', 'O', 'X', 'O', ' ', ' ')","[-7.25563906  0.12661785  0.30735127  0.          0.          0.
  0.         -8.30908843 -6.724     ]"
"('O', ' ', ' ', 'X', 'O', 'X', 'O', 'X', ' ')","[ 0.         -9.99936     6.22899398  0.          0.          0.
  0.          0.         -9.999872  ]"
"('O', ' ', 'O', 'X', 'O', 'X', 'O', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'X')","[0.         9.02499201 9.49695514 9.00109046 8.96039673 6.63699404
 9.10479999 7.98646598 0.        ]"
"('O', 'X', ' ', ' ', ' ', 'O', ' ', ' ', 'X')","[0.         0.         3.79546799 4.68216797 8.26104957 0.
 9.41876997 9.5        0.        ]"
"('O', 'X', 'O', ' ', ' ', 'O', ' ', 'X', 'X')",[ 0.   0.   0.   9.5 10.   0.  10.   0.   0. ]
"('O', 'X', 'O', ' ', ' ', 'O', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', ' ', ' ', 'O', 'X', ' ', ' ')","[9.04387821 9.02497304 8.81922898 8.53097722 9.040352   0.
 0.         8.87285921 9.423392  ]"
"(' ', 'X', 'O', ' ', ' ', 'O', 'X', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', 'O', 'X', ' ', 'O', ' ', ' ')","[ 0.         9.5        9.5        0.         0.         9.4982732
  0.         9.5       10.       ]"
"('X', ' ', 'O', 'O', 'X', 'X', 'O', ' ', ' ')",[ 0.   9.5  0.   0.   0.   0.   0.   9.5 10. ]
"('X', ' ', 'O', 'O', 'X', 'X', 'O', 'X', 'O')",[ 0. 10.  0.  0.  0.  0.  0.  0.  0.]
"('X', 'X', 'O', 'O', 'X', 'X', 'O', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', ' ', 'X', ' ', 'O', 'X', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', 'X', ' ', ' ', 'O', ' ', ' ')","[5.6060626  8.54729986 6.11310683 0.         9.5        0.8471702
 0.         7.47864495 8.44020332]"
"(' ', ' ', ' ', 'X', ' ', 'X', 'O', ' ', 'O')","[-9.99400154 -0.07390528  9.31093193  0.         10.          0.
  0.          9.49988791  0.        ]"
"(' ', ' ', ' ', 'X', 'X', 'X', 'O', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', 'X', ' ', 'O', ' ', ' ', ' ')","[8.43747432 8.69143731 8.87496222 0.         9.02080216 0.
 8.53902004 8.66392562 7.74549841]"
"('O', ' ', ' ', 'X', ' ', 'O', 'X', ' ', ' ')","[0.         6.08314139 5.46474532 0.         1.72061285 0.
 0.         6.1149163  9.34500846]"
"('O', ' ', ' ', 'X', 'X', 'O', 'X', 'O', ' ')","[ 0.          9.49361841 10.          0.          0.          0.
  0.          0.          9.49993928]"
"('O', ' ', 'O', 'X', 'X', 'O', 'X', 'O', 'X')",[0. 5. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', 'O', 'X', 'X', 'O', 'X', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', ' ', ' ', ' ', 'O', ' ', 'X')","[9.424      9.0218095  9.1017598  8.63787426 9.41961103 9.04399513
 0.         8.85914059 0.        ]"
"('X', ' ', 'O', ' ', ' ', ' ', 'O', ' ', 'X')","[ 0.          9.4999984   0.          5.62616645 10.          6.25495847
  0.         -6.22480032  0.        ]"
"('X', 'X', 'O', ' ', ' ', ' ', 'O', 'O', 'X')","[ 0.          0.          0.          6.24916128 10.         -6.25479393
  0.          0.          0.        ]"
"('X', 'X', 'O', 'O', ' ', 'X', 'O', 'O', 'X')",[ 0.  0.  0.  0. 10.  0.  0.  0.  0.]
"('X', 'X', 'O', 'O', 'X', 'X', 'O', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', ' ', 'O', 'X', ' ', ' ', ' ', 'X')","[ 0.          9.46374742  9.4947588   0.          0.          1.25061712
  9.5        -6.72923194  0.        ]"
"('O', ' ', ' ', 'O', 'X', 'X', ' ', 'O', 'X')","[ 0.         -7.16328127 10.          0.          0.          0.
  8.55006071  0.          0.        ]"
"('O', 'X', ' ', 'O', 'X', 'X', 'O', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', 'X', 'O', ' ', ' ', ' ', ' ')","[7.93718445 9.01410289 5.9903771  0.         0.         5.32755178
 5.95337504 6.44680693 8.17913607]"
"(' ', 'O', ' ', 'X', 'O', ' ', ' ', 'X', ' ')","[8.70072066 0.         8.13852737 0.         0.         3.93540379
 9.5        0.         9.49391852]"
"('X', 'O', 'O', 'X', 'O', ' ', ' ', 'X', ' ')","[ 0.         0.         0.         0.         0.        -6.1050016
 10.         0.         8.8697618]"
"('X', 'O', 'O', 'X', 'O', ' ', 'X', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'X', ' ', ' ', ' ', 'O', ' ', ' ')","[9.04035196 8.80348272 0.         8.9754179  5.15860916 8.45278081
 0.         8.82576989 9.49999412]"
"(' ', ' ', 'X', ' ', ' ', 'O', 'O', 'X', ' ')","[9.49995039 9.5        0.         8.99476141 9.36049357 0.
 0.         0.         5.75016704]"
"(' ', ' ', 'X', 'X', 'O', 'O', 'O', 'X', ' ')","[4.90205105 8.70930767 0.         0.         0.         0.
 0.         0.         4.75      ]"
"('O', 'X', 'X', 'X', 'O', 'O', 'O', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 5.]
"('O', 'X', 'X', 'X', 'O', 'O', 'O', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ')","[0.         9.11696    9.0288     8.99591075 8.99641041 8.98871674
 0.         9.02065741 9.49997568]"
"('X', ' ', ' ', ' ', 'X', ' ', 'O', 'O', ' ')","[ 0.         -6.7249984   9.37015848  6.375008    0.          6.37400953
  0.          0.         10.        ]"
"('X', 'X', ' ', ' ', 'X', 'O', 'O', 'O', ' ')","[ 0.          0.         10.          9.34999839  0.          0.
  0.          0.         10.        ]"
"('X', 'X', 'O', 'X', 'X', 'O', 'O', 'O', ' ')",[ 0.  0.  0.  0.  0.  0.  0.  0. 10.]
"('X', 'X', 'O', 'X', 'X', 'O', 'O', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', ' ', ' ', ' ', ' ', 'X', ' ', ' ')","[9.49999996 0.         8.60285157 8.81851227 9.04095981 9.02268441
 0.         8.39636549 9.10479976]"
"(' ', 'O', ' ', 'X', 'O', ' ', 'X', ' ', ' ')","[10.          0.          9.15621194  0.          0.         -7.64546663
  0.          9.5        -6.10119808]"
"(' ', 'O', 'X', 'X', 'O', ' ', 'X', ' ', 'O')","[10.          0.          0.          0.          0.         -9.999872
  0.          9.36896512  0.        ]"
"('O', 'O', 'X', 'X', 'O', ' ', 'X', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', ' ', ' ', ' ', 'O', ' ', ' ', ' ')","[8.26761175 0.         9.49999416 9.02391738 9.119392   0.
 9.02499958 5.14015848 9.0249999 ]"
"('X', 'X', ' ', 'O', ' ', 'O', ' ', 'X', 'O')","[ 0.          0.         10.          0.          9.99999488  0.
 -9.9999744   0.          0.        ]"
"('X', 'X', 'X', 'O', ' ', 'O', ' ', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', ' ', 'X', ' ', 'X', ' ', ' ', 'O')","[ 9.5         0.          0.37941632  0.         10.          0.
  9.5         9.14815517  0.        ]"
"('X', 'O', ' ', 'X', 'O', 'X', ' ', ' ', 'O')","[ 0.          0.         -7.14440731  0.          0.          0.
 10.          9.31127388  0.        ]"
"('X', 'O', ' ', 'X', 'O', 'X', 'X', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', ' ', ' ', 'O', ' ', 'X', ' ')","[9.02481264 8.10816119 8.13508477 9.00129251 9.02515103 0.
 8.56914666 0.         9.49987237]"
"(' ', 'O', ' ', ' ', 'X', 'O', ' ', 'X', ' ')","[6.06735137 0.         5.51032324 8.12888717 0.         0.
 9.5        0.         9.5       ]"
"(' ', 'O', ' ', ' ', 'X', 'O', 'O', 'X', 'X')","[10.          0.          8.55608002  9.49240039  0.          0.
  0.          0.          0.        ]"
"('X', 'O', ' ', ' ', 'X', 'O', 'O', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
