state,q_values
"('X', ' ', 'O', ' ', 'X', ' ', ' ', 'O', ' ')","[ 0.          8.61453727  0.          9.5         0.          9.5
  9.5         0.         10.        ]"
"('X', ' ', 'O', ' ', 'X', ' ', ' ', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', 'O', ' ', 'O', 'X', 'O', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'X', 'X', 'O', ' ', ' ', ' ', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', 'O', 'O', 'X', ' ', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', 'X', 'X', ' ', ' ', 'O', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', 'O', 'X', 'O', 'X', ' ', 'O', 'X')",[0. 0. 0. 0. 0. 0. 5. 0. 0.]
"(' ', ' ', 'X', 'O', 'X', 'O', 'O', ' ', 'X')","[10.         -9.84903226  0.          0.          0.          0.
  0.          6.25016806  0.        ]"
"(' ', 'X', 'X', 'O', 'X', 'O', 'O', 'O', 'X')",[10.  0.  0.  0.  0.  0.  0.  0.  0.]
"('X', 'X', 'X', 'O', 'X', 'O', 'O', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', ' ', 'O', ' ', 'X', 'O', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'O', 'O', 'X', 'X', 'X', 'O', ' ')","[4.75006033 4.74998784 0.         0.         0.         0.
 0.         0.         9.49265333]"
"('X', 'O', 'X', 'O', 'X', 'O', ' ', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'O', ' ', 'O', 'X', 'X', 'O', ' ')","[4.75025534 0.         0.         4.90958833 0.         0.
 0.         0.         4.75      ]"
"('X', 'X', 'O', ' ', 'O', 'X', 'X', 'O', 'O')",[ 0.  0.  0. 10.  0.  0.  0.  0.  0.]
"(' ', 'X', ' ', 'O', 'O', 'X', 'O', 'X', ' ')","[ 5.60104     0.          8.84580645  0.          0.          0.
  0.          0.         -9.9968    ]"
"('O', ' ', 'X', 'O', 'X', ' ', 'O', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', 'X', ' ', 'O', ' ', 'O', ' ')",[ 0.   9.5  9.5  0.   9.5  0.  10.   0.   9.5]
"(' ', ' ', ' ', ' ', ' ', 'O', 'X', 'X', 'O')","[ 0.37752511  0.36780006  1.33063215  9.35516991 -6.2507584   0.
  0.          0.          0.        ]"
"(' ', ' ', 'X', 'O', ' ', 'O', 'X', 'X', 'O')","[ 8.72104633  8.850432    0.          0.         10.          0.
  0.          0.          0.        ]"
"(' ', ' ', 'X', 'O', 'X', 'O', 'X', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', ' ', 'O', ' ', 'O', 'X', ' ', 'X')","[ 0.          0.         -6.87500798  0.          9.49997568  0.
  0.         10.          0.        ]"
"('O', 'X', ' ', 'O', ' ', 'O', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', 'O', ' ', ' ', ' ', ' ', 'O', 'X')","[ 0.          9.06428214  0.          9.5        10.          5.37673743
  9.5         0.          0.        ]"
"('X', 'O', 'O', ' ', ' ', 'X', ' ', 'O', 'X')","[ 0.          0.          0.          8.85079201 10.          0.
  6.22404794  0.          0.        ]"
"('X', 'O', 'O', ' ', 'X', 'X', ' ', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', ' ', 'X', 'O', 'O', ' ', 'X')","[10.          9.5         8.70041669  9.5         0.          0.
  0.          9.5         0.        ]"
"('O', ' ', ' ', ' ', 'X', 'O', 'O', 'X', 'X')","[ 0.         10.         -7.54091026  9.49240002  0.          0.
  0.          0.          0.        ]"
"('O', 'X', ' ', ' ', 'X', 'O', 'O', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', 'O', ' ', ' ', ' ', ' ', ' ', 'X')","[ 0.          0.          0.          9.5        10.          9.49998051
  9.5         9.5         0.        ]"
"('X', 'O', 'O', ' ', ' ', 'O', ' ', 'X', 'X')",[ 0.   0.   0.   9.5 10.   0.  10.   0.   0. ]
"('X', 'O', 'O', ' ', 'X', 'O', ' ', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', 'X', ' ', 'X', ' ', 'O', 'O', ' ')","[ 0.          0.          0.          5.72983361  0.         -9.87419162
  0.          0.         10.        ]"
"(' ', 'X', ' ', ' ', 'X', 'O', ' ', 'O', ' ')","[9.5        0.         9.5        8.39328724 0.         0.
 9.08480957 0.         9.49438153]"
"('O', 'O', ' ', ' ', ' ', 'X', ' ', ' ', 'X')","[ 0.          0.         10.         -6.12515968  9.49396965  0.
  5.75579232  8.74600832  0.        ]"
"('O', 'O', ' ', ' ', 'O', 'X', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'X', ' ', 'O', 'O', ' ', ' ', 'X', 'O')","[ 0.          0.         10.          0.          0.          5.69969648
  2.29544866  0.          0.        ]"
"('X', 'X', 'X', 'O', 'O', ' ', ' ', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', 'O', 'O', 'X', 'O', ' ', 'X')","[ 0.         -6.87880024 10.          0.          0.          0.
  0.         -9.9748003   0.        ]"
"('X', 'O', 'O', 'O', 'X', 'X', 'X', 'O', ' ')",[ 0.  0.  0.  0.  0.  0.  0.  0. 10.]
"('O', 'O', ' ', 'X', ' ', 'X', 'X', ' ', 'O')","[ 0.          0.          5.75500122  0.         10.          0.
  0.         -9.9999744   0.        ]"
"('X', 'X', 'O', 'X', ' ', 'O', 'O', ' ', ' ')","[ 0.          0.          0.          0.         -9.96900933  0.
  0.         -9.9999998  -9.86996671]"
"('X', 'X', 'O', 'X', ' ', 'O', 'O', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'X', ' ', 'O', 'X', 'O', ' ', 'O')","[10.          0.          0.         -9.99999996  0.          0.
  0.         -6.75515105  0.        ]"
"('X', 'X', 'X', ' ', 'O', 'X', 'O', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', ' ', ' ', 'O', 'O', 'X', ' ', ' ')","[-6.74896     0.          0.0770869   9.4785959   0.          0.
  0.         -9.84450602 -6.30199545]"
"('O', 'X', ' ', 'X', 'O', 'O', 'X', ' ', ' ')","[ 0.          0.         -7.14530626  0.          0.          0.
  0.         -9.22020807  4.93390986]"
"('O', ' ', 'O', 'X', ' ', 'X', 'O', ' ', 'X')","[ 0.         -9.34603961  0.          0.         10.          0.
  0.         -9.99999999  0.        ]"
"('O', 'O', ' ', 'O', 'X', ' ', ' ', 'X', 'X')","[ 0.          0.         -9.999792    0.          0.         -9.99999898
 10.          0.          0.        ]"
"('O', 'X', 'X', ' ', ' ', 'O', ' ', 'O', 'X')","[0.         0.         0.         4.74999998 9.46832555 0.
 4.75004913 0.         0.        ]"
"('O', 'X', 'X', 'O', ' ', 'O', 'X', 'O', 'X')",[ 0.  0.  0.  0. 10.  0.  0.  0.  0.]
"('O', 'X', 'X', 'O', 'X', 'O', 'X', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', 'X', ' ', 'O', ' ', ' ', ' ', 'O')","[ 0.         10.          0.          9.5         0.          8.66982252
  9.5         9.49993905  0.        ]"
"(' ', ' ', 'O', ' ', 'X', ' ', ' ', 'O', 'X')","[10.          9.46362751  0.          9.5         0.          9.5
  9.34014423  0.          0.        ]"
"(' ', 'X', 'O', 'X', 'X', 'X', ' ', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', 'X', ' ', ' ', ' ', 'X', 'O', 'O')","[ 0.          0.          0.          5.75480153 10.         -9.99900159
  0.          0.          0.        ]"
"('O', 'X', 'X', 'X', 'O', ' ', 'X', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', 'O', ' ', 'X', 'X', 'X', ' ', 'O')","[ 0.          9.5         0.         10.          0.          0.
  0.          8.87099835  0.        ]"
"('O', ' ', 'O', 'X', 'X', 'X', 'X', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'X', ' ', 'O', 'O', 'O', 'X', 'X')","[-7.05468345  4.2732875   0.          4.75        0.          0.
  0.          0.          0.        ]"
"(' ', ' ', 'O', ' ', ' ', 'X', 'O', ' ', 'X')","[-6.10520127  6.46115997  0.          8.87496007  9.5         0.
  0.          0.19014039  0.        ]"
"(' ', ' ', 'O', 'O', ' ', 'X', 'O', 'X', 'X')","[-9.99380832 -9.999872    0.          0.         -6.879       0.
  0.          0.          0.        ]"
"('O', ' ', 'O', ' ', 'X', 'O', 'X', ' ', 'X')","[ 0.          8.58040196  0.          4.17903226  0.          0.
  0.         10.          0.        ]"
"('O', 'X', 'O', 'O', 'X', 'O', 'X', ' ', 'X')",[ 0.  0.  0.  0.  0.  0.  0. 10.  0.]
"('O', 'X', 'O', 'O', 'X', 'O', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'X', 'O', 'X', 'O', ' ', ' ', ' ')",[ 9.5  9.5  0.   0.   0.   0.  10.   9.5  9.5]
"(' ', 'X', 'X', 'O', 'X', 'O', ' ', ' ', 'O')",[10.  0.  0.  0.  0.  0. 10. 10.  0.]
"(' ', 'X', 'O', 'O', ' ', 'O', 'X', ' ', 'X')","[ 8.87100639  0.          0.          0.          9.49999903  0.
  0.         10.          0.        ]"
"(' ', 'X', 'O', 'O', 'X', 'O', 'X', 'O', 'X')",[10.  0.  0.  0.  0.  0.  0.  0.  0.]
"('X', ' ', 'X', 'O', 'O', 'X', ' ', ' ', 'O')","[ 0.         10.          0.          0.          0.          0.
  8.70200009  8.58774511  0.        ]"
"('X', 'X', 'X', 'O', 'O', 'X', ' ', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', 'O', ' ', ' ', ' ', ' ', 'X', ' ')","[0.         0.         0.         9.4968314  9.49979017 9.02486588
 9.49999996 0.         9.5       ]"
"('X', 'O', 'O', ' ', ' ', 'X', ' ', 'X', 'O')","[0.         0.         0.         9.5        5.54671104 0.
 8.70838156 0.         0.        ]"
"('X', 'O', 'O', ' ', 'O', 'X', 'X', 'X', 'O')",[ 0.  0.  0. 10.  0.  0.  0.  0.  0.]
"('O', 'O', 'X', ' ', ' ', 'X', ' ', 'X', 'O')","[ 0.          0.          0.         -9.22120614  9.5         0.
 -9.29609728  0.          0.        ]"
"('O', 'X', 'X', ' ', 'O', 'X', 'O', ' ', ' ')","[ 0.          0.          0.         -6.87378432  0.          0.
  0.         -9.99999898 10.        ]"
"('O', 'X', 'X', ' ', 'O', 'X', 'O', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', 'X', 'X', 'O', 'O', ' ', 'X', ' ')","[8.70205097 0.         0.         0.         0.         0.
 9.5        0.         9.46838359]"
"('O', ' ', 'O', ' ', ' ', 'X', ' ', 'X', ' ')","[ 0.          1.89984174  0.          6.36783886 -6.10499232  0.
  7.86872338  0.         -6.73737789]"
"('O', 'O', 'O', ' ', ' ', 'X', 'X', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', 'X', ' ', ' ', 'O', ' ', ' ', 'X')","[0.         8.1469305  0.         8.29880248 8.69536064 0.
 9.5        9.49969355 0.        ]"
"('O', ' ', 'X', ' ', 'X', 'O', 'O', ' ', 'X')","[ 0.          1.80381245  0.          4.75        0.          0.
  0.         -7.06903839  0.        ]"
"('X', 'X', ' ', 'O', ' ', ' ', 'O', 'O', 'X')","[ 0.          0.         10.          0.         10.          9.49999996
  0.          0.          0.        ]"
"('X', 'X', 'X', 'O', ' ', ' ', 'O', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', ' ', 'X', ' ', 'O', 'O', 'X', ' ')","[0.         0.         4.75       0.         9.31000981 0.
 0.         0.         4.75024516]"
"('X', 'O', 'O', 'X', 'X', 'O', 'O', 'X', ' ')",[ 0.  0.  0.  0.  0.  0.  0.  0. 10.]
"('O', 'X', ' ', ' ', 'O', 'O', 'X', 'X', ' ')","[ 0.         0.        -9.9999998  9.4938049  0.         0.
  0.         0.        10.       ]"
"('X', ' ', 'O', ' ', ' ', 'O', 'X', ' ', ' ')","[ 0.          9.37266905  0.         10.          6.37496806  0.
  0.          6.37999169  9.5       ]"
"('X', ' ', 'O', 'X', ' ', 'O', 'X', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', ' ', ' ', 'X', ' ', 'X', 'O', ' ')",[ 9.5  0.  10.   9.5  0.   9.5  0.   0.   9.5]
"('X', 'O', 'O', ' ', 'X', ' ', 'X', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', ' ', 'X', 'O', 'X', 'O', 'O', ' ')","[-9.9968      0.         -9.36996958  0.          0.          0.
  0.          0.         -9.97479999]"
"('O', 'X', ' ', 'O', ' ', 'X', 'O', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', 'O', 'O', 'X', ' ', ' ', 'X', 'O')","[ 0.         10.          0.          0.          0.          0.
  1.80076246  0.          0.        ]"
"(' ', 'O', ' ', 'X', ' ', 'O', 'O', 'X', 'X')","[4.90326699 0.         4.75       0.         9.49269224 0.
 0.         0.         0.        ]"
"('X', ' ', ' ', ' ', 'O', ' ', 'X', ' ', 'O')","[ 0.          9.5         9.5        10.          0.          8.81430398
  0.          9.49872107  0.        ]"
"('X', ' ', 'X', 'O', 'O', ' ', 'X', ' ', 'O')","[ 0.         10.          0.          0.          0.          9.46955136
  0.         -7.07341846  0.        ]"
"('X', 'O', 'X', 'O', 'O', 'X', 'X', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 5. 0.]
"(' ', ' ', 'X', ' ', ' ', 'O', 'X', ' ', 'O')","[ 9.5         9.5         0.          9.5        10.          0.
  0.          8.56887242  0.        ]"
"('O', ' ', ' ', 'O', ' ', ' ', 'X', ' ', 'X')","[ 0.          9.49997548  9.5         0.          9.5         9.5
  0.         10.          0.        ]"
"('O', ' ', ' ', 'O', 'X', 'O', 'X', ' ', 'X')",[ 0.   9.5 10.   0.   0.   0.   0.  10.   0. ]
"(' ', 'O', ' ', 'X', ' ', ' ', ' ', 'X', 'O')","[6.03808374 0.         8.857403   0.         5.36716374 6.10953815
 1.87783226 0.         0.        ]"
"('O', 'O', 'X', 'X', 'X', ' ', 'O', 'X', 'O')",[ 0.  0.  0.  0.  0. 10.  0.  0.  0.]
"(' ', 'X', ' ', 'X', 'O', 'X', 'O', ' ', 'O')",[-10.   0. -10.   0.   0.   0.   0. -10.   0.]
"('O', 'X', 'X', 'X', 'O', 'X', 'O', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'X', ' ', 'X', ' ', 'O', 'O', 'O', ' ')","[ 0.          0.         10.          0.          6.37995813  0.
  0.          0.          9.5       ]"
"('O', ' ', 'X', 'O', 'O', 'X', ' ', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', 'O', 'X', ' ', ' ', ' ', 'O')","[0.         9.5        9.5        0.         0.         8.85100165
 9.34039949 9.49383888 0.        ]"
"('X', 'X', ' ', 'O', 'X', ' ', 'O', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', 'O', ' ', 'X', 'O', 'X', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', 'X', 'O', 'O', ' ', 'X', ' ', ' ')","[ 0.          0.          0.          0.          0.         -9.99999855
  0.          2.37017726 -9.9999998 ]"
"('X', 'O', 'O', ' ', 'O', 'X', ' ', 'X', ' ')","[ 0.          0.          0.         -6.74916166  0.          0.
  9.5         0.          6.35000787]"
"(' ', ' ', 'X', ' ', 'X', ' ', 'X', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'O', ' ', 'X', 'X', 'X', 'X', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', 'X', ' ', ' ', 'X', 'X', 'O', 'O')","[ 0.          8.8460032   0.         -9.97399175 10.          0.
  0.          0.          0.        ]"
"('O', ' ', 'O', ' ', 'X', ' ', 'X', ' ', ' ')","[ 0.          9.49897909  0.         -7.36542052  0.         -6.10010526
  0.         -9.22020167 -9.51109203]"
"(' ', ' ', 'O', 'X', 'X', 'O', 'O', 'X', ' ')","[ 9.37016774 10.          0.          0.          0.          0.
  0.          0.          9.5       ]"
"('X', ' ', 'O', ' ', ' ', 'O', 'O', 'X', 'X')","[ 0.          5.74999986  0.         -6.12498432 10.          0.
  0.          0.          0.        ]"
"('X', 'X', ' ', 'X', 'O', 'O', 'X', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', 'O', ' ', 'X', 'O', 'X', 'O', ' ')","[ 0.         9.4997504  0.        10.         0.         0.
  0.         0.        10.       ]"
"('X', 'X', 'O', 'O', 'X', 'O', 'X', 'O', ' ')",[ 0.  0.  0.  0.  0.  0.  0.  0. 10.]
"('X', ' ', ' ', ' ', ' ', 'O', ' ', 'X', 'O')","[ 0.         -9.2201997   9.42399899 -9.37994517  7.11098978  0.
  5.66924082  0.          0.        ]"
"('X', ' ', ' ', 'X', ' ', 'O', 'O', 'X', 'O')","[ 0.         -9.84524288  5.51608243  0.         -7.63618755  0.
  0.          0.          0.        ]"
"('O', ' ', 'X', 'X', ' ', ' ', ' ', ' ', 'O')","[0.         8.48054098 0.         0.         9.5        9.49999993
 6.35500006 9.02012925 0.        ]"
"('O', 'O', 'X', 'X', ' ', ' ', ' ', 'X', 'O')","[0.         0.         0.         0.         9.5        8.74816
 8.72553472 0.         0.        ]"
"('X', 'O', 'X', ' ', ' ', 'O', 'O', ' ', 'X')","[ 0.          0.          0.          9.49362769 10.          0.
  0.          9.49995089  0.        ]"
"('X', 'O', 'X', ' ', 'O', 'O', 'O', 'X', 'X')",[0. 0. 0. 5. 0. 0. 0. 0. 0.]
"('O', 'O', ' ', ' ', ' ', ' ', ' ', 'X', 'X')","[ 0.          0.          9.5         9.48997681  9.37451354  8.87476198
 10.          0.          0.        ]"
"('O', 'O', ' ', ' ', 'X', 'O', ' ', 'X', 'X')","[ 0.          0.          5.51608982  2.29106759  0.          0.
 10.          0.          0.        ]"
"(' ', 'O', ' ', 'O', 'X', ' ', ' ', ' ', 'X')",[10.   0.   9.5  0.   0.   9.5  9.5  9.5  0. ]
"(' ', 'O', 'O', 'O', 'X', ' ', 'X', ' ', 'X')","[10.          0.          0.          0.          0.         -6.10119816
  0.         10.          0.        ]"
"('O', 'X', 'X', 'X', ' ', 'O', ' ', ' ', 'O')","[ 0.         0.         0.         0.         9.5        0.
 -6.8550144 -9.350272   0.       ]"
"('X', ' ', 'O', 'O', 'O', ' ', 'X', 'X', ' ')","[ 0.          4.25832855  0.          0.          0.          5.66808002
  0.          0.         10.        ]"
"('X', ' ', 'O', 'O', 'O', ' ', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', ' ', ' ', ' ', 'O', 'X', 'X', ' ')",[ 9.5  0.   9.5  9.5  9.5  0.   0.   0.  10. ]
"(' ', 'O', 'O', 'X', ' ', 'O', 'X', 'X', ' ')","[ 9.999872  0.        0.        0.       -9.984     0.        0.
  0.       10.      ]"
"(' ', 'O', 'O', 'X', ' ', 'O', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', 'O', 'X', ' ', ' ', 'X', ' ', ' ')","[10.          0.          0.          0.          9.49979999 -6.72520766
  0.          6.2552      9.49975878]"
"('X', 'O', ' ', ' ', ' ', ' ', ' ', 'X', 'O')","[0.         0.         4.68506087 9.49580968 5.38558467 4.68579522
 5.50959797 0.         0.        ]"
"('X', 'O', 'O', ' ', 'X', ' ', ' ', 'X', 'O')","[ 0.          0.          0.         -9.87415206  0.          8.70346901
  4.63294375  0.          0.        ]"
"('X', 'O', 'O', 'O', 'X', 'X', ' ', 'X', 'O')",[0. 0. 0. 0. 0. 0. 5. 0. 0.]
"(' ', ' ', 'X', 'O', 'X', ' ', ' ', ' ', 'O')","[ 9.5         9.5         0.          0.          0.          9.49994406
 10.          9.5         0.        ]"
"(' ', 'O', 'X', 'O', 'X', ' ', ' ', 'X', 'O')","[ 4.78040981  0.          0.          0.          0.          9.49999804
 10.          0.          0.        ]"
"(' ', 'O', ' ', 'O', 'X', 'X', ' ', ' ', ' ')","[9.39041113 0.         9.5        0.         0.         0.
 9.5        0.92434652 9.5       ]"
"(' ', 'X', 'O', ' ', ' ', 'X', ' ', ' ', 'O')","[0.93935817 0.         0.         9.49999608 9.5        0.
 8.88405703 5.43813329 0.        ]"
"(' ', 'X', 'O', ' ', 'X', 'X', ' ', 'O', 'O')","[-9.99543835  0.          0.         10.          0.          0.
  9.46205106  0.          0.        ]"
"(' ', ' ', 'O', 'X', 'O', ' ', ' ', ' ', 'X')","[ 6.22404959  9.01155302  0.          0.          0.         -1.66399553
  9.5         8.85004154  0.        ]"
"(' ', 'O', 'O', 'X', 'O', 'X', ' ', ' ', 'X')",[-10.   0.   0.   0.   0.   0. -10. -10.   0.]
"('X', 'O', 'O', 'X', 'O', 'X', 'O', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', ' ', 'O', 'X', 'X', ' ', 'O', 'X')",[10.   0.  10.   0.   0.   0.   9.5  0.   0. ]
"(' ', 'X', 'X', 'O', ' ', 'X', 'O', ' ', 'O')","[10.          0.          0.          0.         -9.9999998   0.
  0.          8.72499377  0.        ]"
"(' ', ' ', 'X', 'X', 'O', ' ', 'O', ' ', ' ')","[4.5459547  4.98901948 0.         0.         0.         1.89999907
 0.         5.25906949 9.49886066]"
"(' ', ' ', 'X', 'X', 'O', ' ', 'O', 'O', 'X')",[ 8.745  9.5    0.     0.     0.    10.     0.     0.     0.   ]
"('O', ' ', ' ', 'O', 'X', ' ', ' ', 'X', ' ')","[ 0.         10.          5.60623962  0.          0.          8.67258502
  9.5         0.          8.85100005]"
"('O', ' ', ' ', 'O', 'X', 'O', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', 'O', 'O', ' ', 'X', 'X', ' ')","[ 9.43787028 -1.2250977  -7.04085595  0.          0.          9.49360579
  0.          0.         10.        ]"
"(' ', ' ', 'X', 'O', 'O', 'O', 'X', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'O', ' ', 'X', ' ', ' ', ' ', 'X', ' ')","[ 0.          0.          9.025       0.         -9.29426641  5.98921335
 -6.74902085  0.         -6.13217206]"
"('O', 'O', ' ', 'X', 'O', 'X', ' ', 'X', ' ')","[ 0.          0.          5.63100024  0.          0.          0.
 -9.99999898  0.          5.60020135]"
"('X', 'X', 'O', 'O', ' ', ' ', ' ', 'O', 'X')","[ 0.          0.          0.          0.         10.          4.78793922
  9.46808002  0.          0.        ]"
"('O', 'X', ' ', 'O', ' ', ' ', ' ', 'X', ' ')","[ 0.          0.         -6.78494112  0.         10.          5.28074043
  9.5         0.          8.75119201]"
"('O', 'X', ' ', 'O', ' ', 'O', ' ', 'X', 'X')","[ 0.          0.         -9.99999898  0.         10.          0.
  9.9968      0.          0.        ]"
"('O', ' ', 'X', ' ', 'X', 'O', ' ', ' ', ' ')","[ 0.          9.5         0.          9.4982812   0.          0.
 10.          9.5         9.49208384]"
"('O', ' ', 'X', ' ', 'X', 'O', 'X', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'O', ' ', ' ', ' ', ' ', 'O', 'X')","[4.73998418 0.         0.         5.54922642 9.49096242 4.80358799
 5.11958174 0.         0.        ]"
"(' ', 'X', 'O', ' ', 'O', 'X', ' ', 'O', 'X')","[1.91768626 0.         0.         4.7272832  0.         0.
 4.75       0.         0.        ]"
"('O', ' ', ' ', ' ', 'O', 'X', ' ', 'X', ' ')","[0.         1.36887295 9.49879385 7.05504834 0.         0.
 6.38       0.         9.5       ]"
"('O', 'X', ' ', 'O', 'O', 'X', ' ', 'X', ' ')","[ 0.          0.         -9.99999488  0.          0.          0.
 -6.72404799  0.         -6.1250096 ]"
"('O', ' ', 'X', ' ', 'X', 'X', 'O', 'O', ' ')","[ 0.         -9.99999996  0.          9.999872    0.          0.
  0.          0.         10.        ]"
"(' ', 'X', 'X', ' ', 'O', 'O', ' ', 'X', 'O')","[10.          0.          0.         -9.85023114  0.          0.
 -9.99936     0.          0.        ]"
"(' ', 'X', 'X', 'X', 'O', 'O', 'O', 'X', 'O')",[10.  0.  0.  0.  0.  0.  0.  0.  0.]
"('X', 'X', 'X', 'X', 'O', 'O', 'O', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', ' ', 'X', 'X', ' ', ' ', ' ', 'O')","[ 9.5        0.         9.5        0.         0.        10.
  9.5        5.9224647  0.       ]"
"('O', 'O', 'O', 'X', 'X', ' ', 'X', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', ' ', ' ', ' ', 'O', 'O', 'X', ' ')","[ 9.5         0.          9.5         9.49140517 10.          0.
  0.          0.          9.49999922]"
"('X', 'X', ' ', 'X', 'O', 'O', 'O', 'X', 'O')",[ 0.  0. 10.  0.  0.  0.  0.  0.  0.]
"('X', 'X', ' ', ' ', 'O', ' ', 'O', 'X', 'O')","[ 0.          0.         10.         -9.87000026  0.          5.75480152
  0.          0.          0.        ]"
"('X', 'X', 'O', 'O', ' ', ' ', ' ', ' ', ' ')","[0.         0.         0.         0.         9.5        8.98788725
 3.93590695 9.49949399 9.49011012]"
"('X', 'X', 'O', 'O', 'X', ' ', ' ', 'O', ' ')","[ 0.          0.          0.          0.          0.          4.75632359
  8.55632359  0.         10.        ]"
"('X', 'X', 'O', 'O', 'X', ' ', ' ', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'O', 'O', 'X', ' ', 'X', 'X', 'O')","[ 4.72655249 10.          0.          0.          0.          8.58678204
  0.          0.          0.        ]"
"(' ', 'X', 'O', 'O', 'X', ' ', 'X', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'X', 'O', 'O', 'X', 'X', ' ', 'O')","[ 4.93995097 -6.13119992  0.          0.          0.          0.
  0.         -7.61658729  0.        ]"
"(' ', 'O', 'X', 'O', 'O', 'X', 'X', 'X', 'O')",[5. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'O', 'O', ' ', ' ', 'X', 'O', 'X')","[5.66346116 0.         0.         0.         4.75030195 4.7424
 0.         0.         0.        ]"
"('X', 'X', 'O', 'O', 'O', ' ', 'X', 'O', 'X')",[0. 0. 0. 0. 0. 5. 0. 0. 0.]
"('X', 'O', 'O', 'O', 'X', 'X', ' ', ' ', ' ')","[ 0.          0.          0.          0.          0.          0.
  8.58065488  8.73391959 10.        ]"
